close,datetime,high,low,open,symbol,volume
434,112.61,1567746000000,112.98,111.9636,112.66,JPM,7836735
435,115.4,1568005200000,116.055,113.6,113.71,JPM,13985144
436,116.87,1568091600000,117.27,115.7275,116.3,JPM,14333096
437,117.19,1568178000000,117.2,115.38,116.89,JPM,9919217
438,117.91,1568264400000,118.473,115.92,116.55,JPM,12283450
439,120.23,1568350800000,120.4,118.75,119.0,JPM,16257246
440,119.16,1568610000000,119.8699,118.38,118.9,JPM,11993932
441,118.57,1568696400000,118.61,117.24,118.42,JPM,10819727
442,119.76,1568782800000,120.08,117.75,118.32,JPM,10716320
443,119.38,1568869200000,120.3396,119.09,119.7,JPM,9460470
444,118.9,1568955600000,120.34,118.87,119.74,JPM,22076823
445,118.88,1569214800000,119.12,117.68,117.78,JPM,9184038
446,117.33,1569301200000,119.26,117.04,118.75,JPM,11851899
447,118.0,1569387600000,118.36,117.12,117.27,JPM,10269021
448,117.03,1569474000000,118.05,116.95,117.88,JPM,9920613
449,117.72,1569560400000,118.635,117.28,117.96,JPM,10207958
450,117.69,1569819600000,118.77,117.215,118.36,JPM,9800755
451,115.55,1569906000000,119.0,115.41,118.4,JPM,11328624
452,113.25,1569992400000,114.9,112.93,114.81,JPM,12630337
453,112.19,1570078800000,112.91,110.52,112.27,JPM,13102112
454,114.62,1570165200000,114.94,112.27,112.34,JPM,9622741
455,114.37,1570424400000,115.5,114.07,114.19,JPM,6816951
456,111.82,1570510800000,113.06,111.66,113.06,JPM,11588324
457,112.63,1570597200000,113.16,112.07,112.67,JPM,7339861
458,114.21,1570683600000,115.4,113.0,113.14,JPM,11388900
459,116.14,1570770000000,117.99,115.865,116.03,JPM,15193768
460,116.45,1571029200000,116.87,115.66,115.85,JPM,8878537
461,119.96,1571115600000,121.59,117.87,118.85,JPM,30522338
462,119.68,1571202000000,120.62,119.38,119.96,JPM,11632039
463,120.35,1571288400000,121.57,119.88,120.75,JPM,11064912
